latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.54833,13.407822,38.0,3600,Europe/Berlin,CET

time,temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunshine_duration (s),wind_speed_10m_max (km/h)
2000-01-01,2.2,-0.3,0.8,0.00,12.5
2000-01-02,4.2,2.6,3.2,0.00,16.2
2000-01-03,6.3,4.4,5.3,0.00,20.0
2000-01-04,6.2,4.2,5.5,2097.16,21.1
2000-01-05,6.6,-1.1,3.9,21833.25,27.4
2000-01-06,4.4,-2.0,0.8,22875.78,15.6
2000-01-07,6.7,2.8,4.9,0.00,14.8
2000-01-08,5.2,3.2,4.3,16063.70,17.6
2000-01-09,5.3,2.8,4.5,339.81,11.0
2000-01-10,3.1,1.2,2.1,4860.02,10.6
2000-01-11,1.7,-2.9,-0.3,15487.17,14.5
2000-01-12,1.2,-3.3,-1.5,22384.50,14.5
2000-01-13,0.4,-4.5,-2.5,23735.36,13.3
2000-01-14,0.2,-4.9,-2.1,7245.59,10.4
2000-01-15,1.0,-1.8,-0.8,5140.74,12.2
2000-01-16,3.9,-2.8,0.7,0.00,22.0
2000-01-17,7.1,4.0,6.0,1924.70,31.2
2000-01-18,6.0,1.5,4.3,20707.59,29.7
2000-01-19,2.5,-1.4,0.6,24618.73,22.8
2000-01-20,3.9,-2.0,2.0,0.00,30.6
2000-01-21,3.6,-4.2,-0.0,24489.77,32.2
2000-01-22,-1.2,-4.1,-2.7,0.00,15.8
2000-01-23,-4.2,-7.4,-5.7,24813.34,14.5
2000-01-24,-2.1,-6.7,-4.8,7280.91,13.5
2000-01-25,-2.5,-9.1,-5.6,23225.15,17.7
2000-01-26,2.9,-3.8,0.7,0.00,23.5
2000-01-27,2.9,1.2,2.0,0.00,24.2
2000-01-28,2.3,0.9,1.6,594.06,23.8
2000-01-29,7.6,1.5,4.4,0.00,32.4
2000-01-30,5.7,2.1,4.2,26776.24,35.9
2000-01-31,9.7,2.5,7.1,18288.99,38.5
2000-02-01,8.2,5.3,7.1,1068.79,22.7
2000-02-02,7.3,4.4,6.2,0.00,26.8
2000-02-03,6.1,0.0,3.9,24681.29,31.6
2000-02-04,7.1,-0.1,3.9,4144.10,28.0
2000-02-05,8.9,5.6,7.9,0.00,27.4
2000-02-06,11.8,3.7,6.8,19362.47,15.5
2000-02-07,9.9,3.9,6.7,6809.98,23.1
2000-02-08,9.3,5.8,7.6,21336.17,32.8
2000-02-09,8.4,3.6,5.1,20836.76,35.3
2000-02-10,7.9,3.6,5.6,27865.29,23.4
2000-02-11,7.4,2.0,4.9,26973.17,20.0
2000-02-12,6.1,-1.3,2.4,30526.13,23.9
2000-02-13,5.1,1.0,2.7,16771.54,22.6
2000-02-14,5.0,0.2,2.1,31031.55,25.4
2000-02-15,7.7,0.2,3.5,13519.75,22.8
2000-02-16,5.1,0.4,2.8,13125.10,29.7
2000-02-17,4.0,-1.3,1.0,16907.18,18.8
2000-02-18,4.5,-1.2,1.5,13971.23,17.6
2000-02-19,4.2,0.4,2.2,1419.98,13.8
2000-02-20,3.5,-2.8,0.9,23125.80,14.8
2000-02-21,2.2,-3.5,-0.9,23680.63,9.9
2000-02-22,3.0,-3.5,-0.4,27162.77,13.0
2000-02-23,4.7,-2.3,1.3,14550.38,12.4
2000-02-24,5.8,-2.8,2.3,2188.38,20.4
2000-02-25,5.5,1.4,3.3,6058.19,20.9
2000-02-26,7.1,3.0,4.8,4198.12,21.0
2000-02-27,9.2,2.0,5.4,31990.98,21.8
2000-02-28,15.9,5.4,10.0,33671.27,27.2
2000-02-29,10.0,3.9,7.0,18693.59,23.5
2000-03-01,8.4,3.6,6.5,25200.00,25.6
2000-03-02,6.1,2.1,3.9,33313.78,27.1
2000-03-03,7.7,2.0,4.9,2817.50,35.4
2000-03-04,4.4,-0.3,2.0,30048.62,33.8
2000-03-05,4.1,-1.2,1.0,34993.21,27.5
2000-03-06,8.7,-0.6,4.4,24579.55,31.9
2000-03-07,10.7,5.9,8.3,0.00,32.8
2000-03-08,10.9,8.6,9.5,0.00,30.9
2000-03-09,11.6,3.3,9.1,4369.24,34.5
2000-03-10,5.8,-0.7,2.7,30994.09,20.2
2000-03-11,10.1,1.2,5.3,11893.12,29.6
2000-03-12,4.5,-0.3,2.7,15364.67,19.1
2000-03-13,9.6,2.9,6.1,10304.08,14.5
2000-03-14,9.0,3.7,7.2,0.00,26.1
2000-03-15,6.1,1.3,3.3,38285.14,31.9
2000-03-16,6.0,0.9,3.0,28933.40,16.8
2000-03-17,5.3,-0.1,2.7,23796.85,17.2
2000-03-18,6.1,-2.7,2.1,34290.57,12.5
2000-03-19,8.4,-2.4,3.3,36308.38,22.9
2000-03-20,8.0,-1.9,4.1,10419.53,15.3
2000-03-21,8.9,3.8,6.2,5436.11,14.2
2000-03-22,11.9,2.0,6.9,36795.86,15.9
2000-03-23,12.6,1.5,6.9,37509.52,12.9
2000-03-24,10.1,1.9,5.7,33626.13,19.1
2000-03-25,12.3,4.4,7.9,9271.98,18.9
2000-03-26,13.7,3.0,8.1,26070.89,18.2
2000-03-27,6.4,3.8,4.7,0.00,19.5
2000-03-28,7.9,3.4,5.5,0.00,17.1
2000-03-29,8.1,5.1,6.6,0.00,20.9
2000-03-30,7.5,5.6,6.5,291.98,25.3
2000-03-31,6.6,4.0,5.6,839.63,17.4
2000-04-01,10.0,2.7,6.3,27732.33,10.7
2000-04-02,11.8,1.6,7.1,37561.50,12.2
2000-04-03,15.7,2.9,9.5,40219.19,19.9
2000-04-04,12.3,2.5,8.0,6364.12,13.4
2000-04-05,7.6,3.0,5.6,9251.89,21.6
2000-04-06,9.0,0.4,5.0,38385.00,20.8
2000-04-07,9.6,2.0,5.4,14205.60,21.6
2000-04-08,8.7,-1.3,4.9,42676.48,13.4
2000-04-09,8.1,1.2,4.5,43727.81,14.6
2000-04-10,9.6,0.8,5.1,40917.87,12.0
2000-04-11,11.3,-0.3,6.1,43517.27,8.4
2000-04-12,11.5,0.9,6.5,2881.57,17.2
2000-04-13,12.5,1.4,7.1,39263.82,23.2
2000-04-14,11.3,4.0,8.2,33601.11,21.0
2000-04-15,18.5,1.1,9.7,31025.52,18.0
2000-04-16,12.9,5.9,9.5,36858.71,22.2
2000-04-17,20.4,6.4,12.6,32065.86,17.0
2000-04-18,16.7,8.3,12.6,26035.08,11.4
2000-04-19,20.7,8.6,13.6,36906.77,15.2
2000-04-20,18.0,7.9,13.0,45221.31,8.6
2000-04-21,22.8,7.3,15.8,47226.83,13.6
2000-04-22,23.2,10.7,17.0,46516.57,14.5
2000-04-23,26.5,14.2,20.0,45786.51,15.6
2000-04-24,23.0,11.0,17.2,43864.72,24.0
2000-04-25,13.8,9.5,11.6,381.83,16.6
2000-04-26,19.5,10.8,14.5,34681.53,15.2
2000-04-27,23.4,11.1,17.8,48810.12,18.1
2000-04-28,24.9,14.3,19.8,49016.21,27.1
2000-04-29,25.7,15.8,20.5,49221.03,25.1
2000-04-30,26.0,12.4,19.6,46150.12,12.5
2000-05-01,25.0,12.1,18.8,47029.39,16.8
2000-05-02,20.4,12.9,16.9,49829.23,18.0
2000-05-03,18.6,8.7,13.6,49994.34,14.5
2000-05-04,20.7,6.7,14.3,49227.78,13.3
2000-05-05,22.2,8.0,15.8,50202.74,15.0
2000-05-06,23.4,9.6,16.8,50304.82,15.4
2000-05-07,24.2,12.6,18.4,50400.00,16.9
2000-05-08,25.8,13.5,19.6,50400.00,17.0
2000-05-09,24.6,13.5,19.0,49027.50,12.4
2000-05-10,24.4,13.2,19.2,49805.66,9.3
2000-05-11,24.7,13.3,19.4,50400.00,13.8
2000-05-12,18.0,11.3,14.5,50448.12,20.9
2000-05-13,19.0,8.4,13.6,50529.32,12.6
2000-05-14,23.8,9.0,17.3,50529.34,8.3
2000-05-15,26.5,10.9,19.8,50679.32,8.4
2000-05-16,28.0,13.1,21.0,50628.84,8.0
2000-05-17,28.7,13.7,20.2,46655.15,22.7
2000-05-18,18.8,12.6,15.5,18572.82,15.5
2000-05-19,16.7,8.2,12.9,43021.73,10.3
2000-05-20,14.1,8.3,11.5,42943.73,14.4
2000-05-21,16.0,8.4,12.5,39171.37,14.1
2000-05-22,15.8,10.5,12.5,18379.64,9.4
2000-05-23,17.8,6.9,13.6,47767.03,11.6
2000-05-24,20.7,11.3,15.6,15217.63,19.4
2000-05-25,22.6,13.0,16.9,17173.32,27.5
2000-05-26,18.3,10.1,14.5,45017.18,17.9
2000-05-27,21.6,10.4,16.3,41246.83,26.3
2000-05-28,20.7,7.5,14.1,32472.53,25.7
2000-05-29,16.6,10.0,13.0,49006.20,26.9
2000-05-30,15.2,8.0,12.0,44605.52,15.0
2000-05-31,17.5,8.0,13.4,52287.52,11.8
2000-06-01,20.2,8.0,15.4,36988.21,17.2
2000-06-02,26.7,15.8,21.0,51171.36,19.6
2000-06-03,24.4,13.3,19.5,51505.73,14.7
2000-06-04,27.5,14.6,20.0,45433.34,17.2
2000-06-05,24.4,14.1,18.9,44522.41,16.0
2000-06-06,17.9,13.6,16.1,26308.90,24.9
2000-06-07,17.6,11.2,14.2,52042.18,24.0
2000-06-08,18.9,9.5,14.5,53671.68,16.2
2000-06-09,25.6,11.0,18.9,54447.38,17.1
2000-06-10,30.8,15.8,23.7,54492.96,17.1
2000-06-11,28.1,17.5,22.6,51300.18,15.6
2000-06-12,21.8,15.7,18.5,49779.79,19.4
2000-06-13,28.2,13.6,21.7,54612.43,16.3
2000-06-14,23.8,15.4,19.5,32804.18,18.8
2000-06-15,17.6,13.5,16.2,26311.44,19.3
2000-06-16,16.2,10.4,13.4,53334.36,26.3
2000-06-17,18.4,9.7,13.9,51944.47,18.6
2000-06-18,23.1,8.7,17.0,53801.41,9.2
2000-06-19,30.0,13.3,22.6,54925.24,9.6
2000-06-20,33.5,15.9,26.0,55096.25,10.3
2000-06-21,34.4,18.0,27.5,55105.68,16.4
2000-06-22,29.8,19.1,23.8,48514.65,24.1
2000-06-23,23.7,16.6,20.2,47813.34,19.8
2000-06-24,21.5,13.4,16.2,44219.91,18.6
2000-06-25,18.5,12.4,14.9,50936.69,22.3
2000-06-26,16.2,11.7,13.7,38050.04,26.6
2000-06-27,16.1,10.9,13.1,43229.38,29.6
2000-06-28,14.8,9.7,12.1,36517.36,23.3
2000-06-29,15.8,10.9,12.8,15952.26,19.2
2000-06-30,16.5,11.1,13.4,13714.65,21.6
2000-07-01,21.6,10.1,15.9,46445.74,23.8
2000-07-02,21.3,13.4,17.3,44251.87,9.7
2000-07-03,24.2,14.0,19.1,27231.76,14.9
2000-07-04,22.8,15.6,19.1,35185.27,10.6
2000-07-05,21.0,15.4,17.6,31233.78,21.4
2000-07-06,20.9,14.4,17.0,30118.46,17.4
2000-07-07,20.9,10.5,16.3,39335.09,14.1
2000-07-08,17.0,12.8,14.8,6793.16,15.6
2000-07-09,19.7,11.2,15.4,46575.40,16.9
2000-07-10,20.9,13.7,16.4,21706.65,23.2
2000-07-11,21.6,13.9,17.8,36561.26,19.8
2000-07-12,16.8,12.9,15.0,10076.58,27.4
2000-07-13,18.4,11.0,14.8,47359.86,22.0
2000-07-14,19.3,12.3,14.7,18562.52,12.5
2000-07-15,18.0,11.3,14.4,34598.17,17.1
2000-07-16,19.6,9.8,15.7,45220.03,11.2
2000-07-17,19.8,13.5,16.4,19242.28,18.5
2000-07-18,16.6,13.4,15.0,6833.05,20.3
2000-07-19,15.7,12.4,14.0,0.00,21.3
2000-07-20,18.0,13.2,15.5,3994.05,22.5
2000-07-21,18.4,13.5,15.5,530.38,18.1
2000-07-22,18.5,13.6,15.6,20275.35,14.1
2000-07-23,20.9,11.0,16.9,50180.81,6.4
2000-07-24,23.6,11.9,18.8,47281.54,11.1
2000-07-25,24.1,16.1,19.2,37160.05,15.3
2000-07-26,21.8,15.6,18.4,36462.90,15.5
2000-07-27,22.0,15.2,18.4,30835.36,17.1
2000-07-28,20.2,15.8,17.3,26681.22,11.4
2000-07-29,17.6,14.5,16.0,8448.28,17.5
2000-07-30,20.4,14.0,16.6,26373.30,18.3
2000-07-31,19.5,13.4,16.4,18480.84,18.0
2000-08-01,24.6,11.1,18.4,50515.83,11.4
2000-08-02,25.7,15.5,19.5,27477.52,14.5
2000-08-03,22.8,14.1,18.5,48213.03,14.1
2000-08-04,22.6,12.7,18.2,49926.12,7.8
2000-08-05,22.3,12.6,18.1,49839.51,8.3
2000-08-06,23.0,12.0,18.3,47522.22,10.8
2000-08-07,18.9,13.3,16.8,29233.83,18.5
2000-08-08,18.0,11.1,14.8,21927.46,14.8
2000-08-09,17.8,11.4,14.8,20776.00,15.6
2000-08-10,24.2,10.2,17.6,42349.21,12.3
2000-08-11,21.6,15.9,18.4,39741.36,17.3
2000-08-12,22.5,13.7,18.2,35112.34,8.0
2000-08-13,26.4,14.7,20.7,48661.94,12.2
2000-08-14,29.7,14.4,22.4,48921.99,10.1
2000-08-15,28.4,16.4,22.2,43749.29,12.4
2000-08-16,24.6,17.9,20.8,45568.62,16.5
2000-08-17,25.9,15.8,20.7,45963.61,12.3
2000-08-18,24.5,16.2,19.9,46937.64,10.6
2000-08-19,26.1,18.2,21.0,12678.44,17.4
2000-08-20,25.2,16.3,20.7,35344.67,18.4
2000-08-21,23.2,15.1,18.9,40303.76,22.3
2000-08-22,20.4,13.3,16.7,44458.38,12.9
2000-08-23,19.6,12.6,16.0,45210.97,11.6
2000-08-24,20.6,10.1,16.1,40112.54,22.8
2000-08-25,19.4,13.1,16.7,25184.79,22.6
2000-08-26,21.3,9.2,16.1,45384.96,18.0
2000-08-27,23.4,13.3,18.3,44816.31,24.0
2000-08-28,18.1,14.4,16.6,17532.34,17.7
2000-08-29,22.0,10.4,16.9,43263.83,8.4
2000-08-30,21.1,11.6,16.3,42955.09,7.7
2000-08-31,20.5,12.4,16.4,31324.24,7.1
2000-09-01,22.2,11.6,17.2,43202.83,10.1
2000-09-02,19.3,13.7,15.8,29034.34,22.9
2000-09-03,15.8,12.8,13.8,813.93,24.5
2000-09-04,14.9,9.4,12.2,8572.54,18.2
2000-09-05,15.6,8.4,12.2,28569.85,14.9
2000-09-06,18.4,8.8,13.7,35805.34,15.6
2000-09-07,17.2,11.5,14.3,36859.77,15.1
2000-09-08,16.5,10.5,14.5,913.17,17.8
2000-09-09,21.8,16.4,18.6,12574.78,13.8
2000-09-10,20.5,14.7,17.3,25605.81,10.8
2000-09-11,18.9,13.0,16.1,37662.23,14.2
2000-09-12,22.2,10.0,16.4,32991.44,15.5
2000-09-13,21.1,15.1,17.7,24478.38,17.0
2000-09-14,18.6,13.6,15.9,18090.71,13.8
2000-09-15,18.4,12.7,15.1,26299.86,17.6
2000-09-16,16.4,11.6,14.3,6274.98,21.7
2000-09-17,14.6,10.0,12.0,8531.32,14.5
2000-09-18,13.2,9.2,11.0,21242.02,17.8
2000-09-19,11.6,7.5,9.6,25034.71,18.9
2000-09-20,13.4,8.6,10.7,23090.59,24.7
2000-09-21,15.8,8.4,11.9,29078.26,27.8
2000-09-22,15.9,9.9,13.0,18734.84,16.9
2000-09-23,16.5,9.2,12.9,35771.70,14.5
2000-09-24,14.3,8.0,10.7,38187.43,17.7
2000-09-25,18.0,6.2,12.2,37455.85,13.1
2000-09-26,17.0,10.3,13.7,11484.94,12.0
2000-09-27,22.5,11.0,16.3,35343.81,13.7
2000-09-28,22.4,13.4,17.4,25304.77,14.7
2000-09-29,22.1,13.1,17.4,36659.77,18.8
2000-09-30,22.2,13.3,17.2,36571.75,20.6
2000-10-01,22.5,13.2,17.5,36309.40,13.7
2000-10-02,17.2,11.4,15.0,12978.23,21.6
2000-10-03,19.2,9.0,14.0,33977.84,8.9
2000-10-04,18.9,11.4,15.2,14972.71,9.4
2000-10-05,18.6,13.7,15.7,12052.82,5.8
2000-10-06,14.3,10.4,12.4,0.00,13.0
2000-10-07,11.8,9.7,10.6,0.00,12.7
2000-10-08,12.3,8.7,10.0,469.03,13.1
2000-10-09,11.1,8.2,9.7,0.00,12.6
2000-10-10,11.1,6.3,9.0,0.00,25.0
2000-10-11,14.9,6.8,11.0,16813.52,28.7
2000-10-12,16.7,9.4,12.4,23805.93,14.5
2000-10-13,16.4,8.0,12.2,18303.29,12.3
2000-10-14,17.3,10.9,13.7,28033.62,13.1
2000-10-15,18.2,13.1,15.0,12232.02,19.6
2000-10-16,20.2,10.6,15.6,32206.78,20.6
2000-10-17,16.2,8.3,12.4,26788.82,12.3
2000-10-18,13.6,8.3,10.5,19511.86,7.8
2000-10-19,15.1,10.5,12.5,2288.03,16.9
2000-10-20,15.2,6.7,11.3,6002.88,18.2
2000-10-21,15.9,9.2,11.9,31650.65,18.0
2000-10-22,17.1,7.0,11.4,31738.64,11.2
2000-10-23,15.6,5.5,10.1,31586.62,15.0
2000-10-24,14.6,9.7,12.1,29650.22,25.9
2000-10-25,14.7,10.7,12.4,1041.73,29.2
2000-10-26,13.0,8.5,11.2,25235.06,22.6
2000-10-27,11.6,8.0,9.6,1340.89,23.4
2000-10-28,12.5,9.9,11.3,0.00,16.8
2000-10-29,14.7,9.9,11.7,22231.24,22.3
2000-10-30,15.9,9.4,12.9,17407.29,32.4
2000-10-31,14.5,9.3,11.7,0.00,22.2
2000-11-01,12.3,7.2,9.7,23978.51,21.4
2000-11-02,12.5,6.5,9.7,26356.80,20.8
2000-11-03,10.3,6.4,8.5,2069.96,20.0
2000-11-04,10.3,4.3,7.8,12498.06,13.3
2000-11-05,8.8,2.4,5.4,21063.67,14.0
2000-11-06,9.2,3.8,6.5,5981.39,27.0
2000-11-07,12.7,7.1,9.4,25036.75,17.7
2000-11-08,11.1,5.5,8.1,24957.41,21.1
2000-11-09,10.5,5.8,7.7,16081.59,20.3
2000-11-10,9.4,4.8,6.9,26474.21,24.9
2000-11-11,8.8,4.8,6.5,27543.67,18.8
2000-11-12,10.9,3.3,6.8,23578.51,19.8
2000-11-13,12.7,7.7,9.8,15694.98,19.6
2000-11-14,11.3,6.6,8.6,22236.12,10.2
2000-11-15,9.0,6.0,7.7,20977.22,16.6
2000-11-16,7.8,3.3,5.1,23896.07,13.0
2000-11-17,5.0,1.2,3.3,0.00,10.5
2000-11-18,5.8,3.2,4.6,16448.43,21.9
2000-11-19,7.5,2.8,4.4,25816.28,21.4
2000-11-20,9.0,3.0,5.3,14783.02,14.2
2000-11-21,5.7,1.8,4.2,0.00,10.1
2000-11-22,9.5,3.2,6.1,17086.42,16.8
2000-11-23,8.8,2.5,6.4,16420.65,15.1
2000-11-24,8.4,1.9,5.7,21241.77,14.1
2000-11-25,6.8,3.8,5.1,0.00,6.6
2000-11-26,6.5,3.8,5.0,8462.04,12.8
2000-11-27,7.1,4.4,5.5,3894.02,18.0
2000-11-28,9.2,2.6,5.4,0.00,15.0
2000-11-29,11.3,7.5,9.3,20677.83,14.2
2000-11-30,11.4,4.5,7.4,13467.27,13.4
2000-12-01,8.1,4.8,5.9,15150.27,12.8
2000-12-02,9.6,4.5,6.9,0.00,12.6
2000-12-03,8.6,4.8,7.0,8422.83,15.5
2000-12-04,7.6,2.3,5.0,22054.34,13.4
2000-12-05,9.4,3.9,5.7,21795.21,13.0
2000-12-06,6.6,2.7,4.0,19824.96,15.0
2000-12-07,8.2,2.7,5.1,21017.23,16.1
2000-12-08,10.6,4.8,7.6,0.00,16.5
2000-12-09,10.2,5.7,7.5,21957.40,14.2
2000-12-10,8.8,4.2,6.5,18919.21,18.0
2000-12-11,10.3,7.6,8.7,233.66,23.9
2000-12-12,12.3,8.5,11.1,188.05,20.6
2000-12-13,12.7,9.2,11.0,18757.58,31.6
2000-12-14,9.2,6.5,7.9,21489.93,26.9
2000-12-15,6.8,3.7,5.5,17020.87,27.6
2000-12-16,4.4,1.3,3.0,36.95,31.5
2000-12-17,3.5,2.7,3.1,0.00,24.3
2000-12-18,3.8,1.0,2.8,874.83,13.1
2000-12-19,3.0,0.4,1.4,1405.78,7.6
2000-12-20,0.8,-1.4,0.1,10314.43,14.9
2000-12-21,-0.8,-2.5,-1.8,16903.88,16.8
2000-12-22,-0.9,-4.2,-3.1,21516.23,15.9
2000-12-23,-0.7,-5.5,-3.8,21723.55,13.2
2000-12-24,-1.6,-4.2,-2.9,1038.42,8.3
2000-12-25,-0.3,-2.0,-1.3,0.00,10.4
2000-12-26,-1.7,-3.8,-2.6,0.00,17.3
2000-12-27,1.1,-1.6,-0.3,792.71,12.1
2000-12-28,1.5,-3.0,-0.4,1303.72,17.0
2000-12-29,0.3,-7.6,-2.8,18290.81,16.3
2000-12-30,-1.2,-6.9,-4.3,18595.49,8.7
2000-12-31,-0.1,-4.8,-2.3,11620.00,19.0
2001-01-01,0.3,-10.9,-3.9,13881.63,19.7
2001-01-02,3.5,0.6,2.3,8136.98,15.9
2001-01-03,5.8,1.4,3.3,10834.07,16.6
2001-01-04,3.9,-2.3,1.1,12681.96,16.6
2001-01-05,7.1,2.6,5.0,9068.03,25.2
2001-01-06,9.9,4.3,7.2,0.00,28.7
2001-01-07,6.5,3.4,4.5,13781.88,11.9
2001-01-08,4.5,-0.9,2.2,17740.83,9.4
2001-01-09,4.7,-1.0,2.8,1581.31,19.8
2001-01-10,3.3,1.3,2.6,0.00,14.9
2001-01-11,1.0,-4.4,-1.1,23592.80,14.4
2001-01-12,1.4,-2.8,-0.8,15214.72,12.7
2001-01-13,-0.7,-3.3,-1.7,2689.81,8.2
2001-01-14,-1.3,-2.2,-1.8,0.00,7.3
2001-01-15,0.9,-2.8,-1.6,17348.14,11.7
2001-01-16,0.1,-3.5,-2.0,20788.25,15.6
2001-01-17,0.4,-4.9,-2.8,23693.75,17.0
2001-01-18,0.2,-5.1,-2.5,21892.58,14.2
2001-01-19,1.5,-3.3,-1.3,19930.80,9.8
2001-01-20,1.3,-4.7,-1.9,11396.49,13.5
2001-01-21,1.2,-2.4,-0.9,6542.21,12.1
2001-01-22,0.3,-1.8,-0.5,0.00,20.0
2001-01-23,3.7,0.1,1.8,0.00,17.7
